Merchant/Company,Start date,End date,Aggregation,Country codes
TurbiBRCOM,01/12/2018,31/12/2018,,
Company Account,Merchant Account,Country Code,Store,Terminal ID,Batch Number,Batch Closed Date,Payment Method,Creation Date,TimeZone,Journal Type,Gross Currency,Gross Debit (GC),Gross Credit (GC),Exchange Rate,Net Currency,Net Debit (NC),Net Credit (NC),Bank/Card Commission (NC),DCC Markup (NC),Num Txs
TurbiBR,TurbiBRCOM,BR,,,31,2018-12-04 04:38:49.014,elo,2018-11-04,BRT,SettledInstallment,BRL,,113.34,1.0,BRL,,110.23,3.11,,2
TurbiBR,TurbiBRCOM,BR,,,31,2018-12-04 04:38:49.014,,2018-12-04,BRST,MerchantPayout,,,,1.0,BRL,110.23,,,,1
TurbiBR,TurbiBRCOM,BR,,,30,2018-12-04 04:38:48.968,visa,2018-11-02,BRT,SettledInstallment,BRL,,63.29,1.0,BRL,,61.55,1.74,,1
TurbiBR,TurbiBRCOM,BR,,,30,2018-12-04 04:38:48.968,visa,2018-11-03,BRT,SettledInstallment,BRL,,151.92,1.0,BRL,,147.74,4.18,,2
TurbiBR,TurbiBRCOM,BR,,,30,2018-12-04 04:38:48.968,visa,2018-11-05,BRST,SettledInstallment,BRL,,149.68,1.0,BRL,,145.56,4.12,,1
TurbiBR,TurbiBRCOM,BR,,,30,2018-12-04 04:38:48.968,,2018-12-04,BRST,MerchantPayout,,,,1.0,BRL,354.85,,,,1
TurbiBR,TurbiBRCOM,BR,,,29,2018-12-04 04:38:48.9,mc,2018-11-01,BRT,SettledInstallment,BRL,,163.17,0.9999999999999998,BRL,,158.68,4.49,,2
TurbiBR,TurbiBRCOM,BR,,,29,2018-12-04 04:38:48.9,mc,2018-11-02,BRT,RefundedInstallment,BRL,30.00,,1.0,BRL,30.00,,,,1
TurbiBR,TurbiBRCOM,BR,,,29,2018-12-04 04:38:48.9,mc,2018-11-02,BRT,SettledInstallment,BRL,,386.36,1.0,BRL,,375.74,10.62,,8
TurbiBR,TurbiBRCOM,BR,,,29,2018-12-04 04:38:48.9,mc,2018-11-03,BRT,RefundedInstallment,BRL,1418.00,,1.0,BRL,1418.00,,,,44
TurbiBR,TurbiBRCOM,BR,,,29,2018-12-04 04:38:48.9,mc,2018-11-03,BRT,SettledInstallment,BRL,,610.89,1.0,BRL,,594.09,16.80,,5
TurbiBR,TurbiBRCOM,BR,,,29,2018-12-04 04:38:48.9,mc,2018-11-04,BRT,SettledInstallment,BRL,,514.40,1.0,BRL,,500.26,14.14,,5
TurbiBR,TurbiBRCOM,BR,,,29,2018-12-04 04:38:48.9,mc,2018-11-05,BRST,RefundedInstallment,BRL,68.87,,1.0,BRL,68.87,,,,3
TurbiBR,TurbiBRCOM,BR,,,29,2018-12-04 04:38:48.9,mc,2018-11-05,BRST,SettledInstallment,BRL,,182.05,1.0,BRL,,177.05,5.00,,5
TurbiBR,TurbiBRCOM,BR,,,29,2018-12-04 04:38:48.9,,2018-12-04,BRST,MerchantPayout,,,,1.0,BRL,288.95,,,,1
